problem,difficulty
nCr table,Medium
Coinage,Medium
Building a List,Medium
Merge List,Medium
A Chocolate Fiesta,Easy
Mehta and the Typical Supermarket,Hard
Choose and Calculate,Medium
Sherlock and Pairs,Medium
Consecutive Subsequences,Medium
Anti-Palindromic Strings,Medium
Lexicographic paths,Medium
Number List,Medium
Game Of Thrones - II,Hard
Journey to Mars,Medium
Super Humble Matrix,Medium
Volleyball Match,Medium
Picking Cards,Easy
Cyclic Quadruples,Medium
Permutation Problem,Hard
Longest Increasing Subsequence Arrays,Medium
Digit Products,Medium
Towers,Hard
Introduction to Representation Theory,Advanced
Tile Painting: Revisited!,Hard
Beautiful Sets,Hard
Alien Flowers,Hard
Count Fox Sequences,Medium
Manasa and Combinatorics,Medium
Coloring Grid,Medium
Grid Lines,Hard
Tower 3-coloring,Medium
Div and Span,Medium
Value of all Permutations,Hard
Farmer,Advanced
Irresponsible Numbers,Hard
Academy Surveillance,Advanced
Ichigo and Revenge,Medium
Binomial Coefficients Revenge,Medium
Circles Math,Medium
To Heap or Not to Heap,Advanced
Sasha and Swaps,Advanced
k-balance number,Hard
Powercode,Advanced
How Many Trees?,Advanced
Strongly Connected Digraphs,Hard
Robanukkah Tree,Hard
Costly Graphs,Medium
Bridges and Harbors,Medium
Count Palindromes,Hard
Byteland Itinerary,Advanced
