problem,difficulty
Tree: Preorder Traversal,Easy
Tree: Postorder Traversal,Easy
Tree: Inorder Traversal,Easy
Tree: Height of a Binary Tree,Easy
Tree : Top View,Easy
Tree: Level Order Traversal,Easy
Binary Search Tree : Insertion,Easy
Tree: Huffman Decoding ,Medium
Binary Search Tree : Lowest Common Ancestor,Easy
Swap Nodes [Algo],Medium
Kitty's Calculations on a Tree,Advanced
Is This a Binary Search Tree?,Medium
Square-Ten Tree,Hard
Balanced Forest,Hard
Jenny's Subtrees,Hard
Array Pairs,Advanced
