problem,difficulty
Kindergarten Adventures,Medium
Cube Summation,Hard
Mr. X and His Shots,Medium
Direct Connections,Hard
Subsequence Weighting,Advanced
Jim and the Skyscrapers,Medium
Palindromic Subsets,Hard
Unique Colors,Advanced
Polynomial Division,Hard
Self-Driving Bus,Advanced
Functional Palindromes,Advanced
Lazy White Falcon,Hard
Heavy Light White Falcon,Hard
Sum of the Maximums,Advanced
Heavy Light 2 White Falcon,Hard
Library Query,Advanced
Starfleet,Advanced
Burger Happiness ,Hard
Roy and alpha-beta trees,Hard
Coloring Tree,Hard
Recalling Early Days GP with Trees,Hard
Swaps and Sum,Advanced
Arithmetic Progressions,Advanced
Coolguy and Two Subsequences,Advanced
White Falcon And Tree,Hard
Subtrees And Paths,Advanced
Triplets,Advanced
BST maintenance,Advanced
Find Maximum Index Product,Medium
Taxicab Driver's Problem,Advanced
Jaggu Playing with Balloons,Advanced
Dynamic Summation,Hard
Two Array Problem,Hard
Rooted Tree,Hard
The crazy helix,Advanced
Network administration,Hard
Company Retreat,Advanced
