problem,difficulty
Hackerland Radio Transmitters,Medium
Gridland Metro,Medium
Ice Cream Parlor,Easy
KnightL on a Chessboard,Medium
Minimum Loss,Medium
Missing Numbers,Easy
Pairs,Medium
Sherlock and Array,Easy
Maximum Subarray Sum,Hard
Connected Cells in a Grid,Medium
Short Palindrome,Medium
Maximizing Mission Points,Hard
Count Luck,Medium
Cut the Tree,Medium
Making Candies,Hard
Gena Playing Hanoi,Medium
Beautiful Quadruples,Medium
Bike Racers,Hard
Task Scheduling ,Advanced
Similar Pair,Advanced
Absolute Element Sums,Hard
Sorted Subsegments,Hard
King Richard's Knights,Hard
